"name","position","nationality","team","team_url","school","school_url"
"Karl-Anthony Towns","C","Dominican Republic[n 2]","Minnesota Timberwolves","https://en.wikipedia.org/wiki/Minnesota_Timberwolves","Kentucky","https://en.wikipedia.org/wiki/Kentucky_Wildcats_men%27s_basketball"
"D'Angelo Russell","PG","United States","Los Angeles Lakers","https://en.wikipedia.org/wiki/Los_Angeles_Lakers","Ohio State","https://en.wikipedia.org/wiki/Ohio_State_Buckeyes_men%27s_basketball"
"Jahlil Okafor","C","United States","Philadelphia 76ers","https://en.wikipedia.org/wiki/Philadelphia_76ers","Duke","https://en.wikipedia.org/wiki/Duke_Blue_Devils_men%27s_basketball"
"Kristaps Porziņģis","PF/C","Latvia","New York Knicks","https://en.wikipedia.org/wiki/New_York_Knicks","Baloncesto Sevilla","https://en.wikipedia.org/wiki/CB_Sevilla"
"Mario Hezonja","SG/SF","Croatia","Orlando Magic","https://en.wikipedia.org/wiki/Orlando_Magic","FC Barcelona","https://en.wikipedia.org/wiki/FC_Barcelona_B%C3%A0squet"
"Willie Cauley-Stein","PF","United States","Sacramento Kings","https://en.wikipedia.org/wiki/Sacramento_Kings","Kentucky","https://en.wikipedia.org/wiki/Kentucky_Wildcats_men%27s_basketball"
"Emmanuel Mudiay","PG","DR Congo[n 3]","Denver Nuggets","https://en.wikipedia.org/wiki/Denver_Nuggets","Guangdong Southern Tigers","https://en.wikipedia.org/wiki/Guangdong_Southern_Tigers"
"Stanley Johnson","SF","United States","Detroit Pistons","https://en.wikipedia.org/wiki/Detroit_Pistons","Arizona","https://en.wikipedia.org/wiki/Arizona_Wildcats_men%27s_basketball"
"Frank Kaminsky","PF","United States","Charlotte Hornets","https://en.wikipedia.org/wiki/Charlotte_Hornets","Wisconsin","https://en.wikipedia.org/wiki/Wisconsin_Badgers_men%27s_basketball"
"Justise Winslow","SF","United States","Miami Heat","https://en.wikipedia.org/wiki/Miami_Heat","Duke","https://en.wikipedia.org/wiki/Duke_Blue_Devils_men%27s_basketball"
"Myles Turner","C","United States","Indiana Pacers","https://en.wikipedia.org/wiki/Indiana_Pacers","Texas","https://en.wikipedia.org/wiki/Texas_Longhorns_men%27s_basketball"
"Trey Lyles","PF","Canada","Utah Jazz","https://en.wikipedia.org/wiki/Utah_Jazz","Kentucky","https://en.wikipedia.org/wiki/Kentucky_Wildcats_men%27s_basketball"
"Devin Booker","SG","United States","Phoenix Suns","https://en.wikipedia.org/wiki/Phoenix_Suns","Kentucky","https://en.wikipedia.org/wiki/Kentucky_Wildcats_men%27s_basketball"
"Cameron Payne","PG","United States","Oklahoma City Thunder","https://en.wikipedia.org/wiki/Oklahoma_City_Thunder","Murray State","https://en.wikipedia.org/wiki/Murray_State_Racers_men%27s_basketball"
"Kelly Oubre Jr.","SG","United States","Atlanta Hawks","https://en.wikipedia.org/wiki/Atlanta_Hawks","Kansas","https://en.wikipedia.org/wiki/Kansas_Jayhawks_men%27s_basketball"
"Terry Rozier","PG","United States","Boston Celtics","https://en.wikipedia.org/wiki/Boston_Celtics","Louisville","https://en.wikipedia.org/wiki/Louisville_Cardinals_men%27s_basketball"
"Rashad Vaughn","SG","United States","Milwaukee Bucks","https://en.wikipedia.org/wiki/Milwaukee_Bucks","UNLV","https://en.wikipedia.org/wiki/UNLV_Runnin%27_Rebels_basketball"
"Sam Dekker","SF","United States","Houston Rockets","https://en.wikipedia.org/wiki/Houston_Rockets","Wisconsin","https://en.wikipedia.org/wiki/Wisconsin_Badgers_men%27s_basketball"
"Jerian Grant","PG","United States","Washington Wizards","https://en.wikipedia.org/wiki/Washington_Wizards","Notre Dame","https://en.wikipedia.org/wiki/Notre_Dame_Fighting_Irish_men%27s_basketball"
"Delon Wright","PG","United States","Toronto Raptors","https://en.wikipedia.org/wiki/Toronto_Raptors","Utah","https://en.wikipedia.org/wiki/Utah_Utes_men%27s_basketball"
"Justin Anderson","SF","United States","Dallas Mavericks","https://en.wikipedia.org/wiki/Dallas_Mavericks","Virginia","https://en.wikipedia.org/wiki/Virginia_Cavaliers_men%27s_basketball"
"Bobby Portis","PF","United States","Chicago Bulls","https://en.wikipedia.org/wiki/Chicago_Bulls","Arkansas","https://en.wikipedia.org/wiki/Arkansas_Razorbacks_men%27s_basketball"
"Rondae Hollis-Jefferson","SF","United States","Portland Trail Blazers","https://en.wikipedia.org/wiki/Portland_Trail_Blazers","Arizona","https://en.wikipedia.org/wiki/Arizona_Wildcats_men%27s_basketball"
"Tyus Jones","PG","United States","Cleveland Cavaliers","https://en.wikipedia.org/wiki/Cleveland_Cavaliers","Duke","https://en.wikipedia.org/wiki/Duke_Blue_Devils_men%27s_basketball"
"Jarell Martin","PF","United States","Memphis Grizzlies","https://en.wikipedia.org/wiki/Memphis_Grizzlies","LSU","https://en.wikipedia.org/wiki/LSU_Tigers_basketball"
"Nikola Milutinov","C","Serbia","San Antonio Spurs","https://en.wikipedia.org/wiki/San_Antonio_Spurs","Partizan Belgrade","https://en.wikipedia.org/wiki/KK_Partizan"
"Larry Nance Jr.","PF","United States","Los Angeles Lakers","https://en.wikipedia.org/wiki/Los_Angeles_Lakers","Wyoming","https://en.wikipedia.org/wiki/Wyoming_Cowboys_basketball"
"R. J. Hunter","SG","United States","Boston Celtics","https://en.wikipedia.org/wiki/Boston_Celtics","Georgia State","https://en.wikipedia.org/wiki/Georgia_State_Panthers_men%27s_basketball"
"Chris McCullough","PF","United States","Brooklyn Nets","https://en.wikipedia.org/wiki/Brooklyn_Nets","Syracuse","https://en.wikipedia.org/wiki/Syracuse_Orange_men%27s_basketball"
"Kevon Looney","PF","United States","Golden State Warriors","https://en.wikipedia.org/wiki/Golden_State_Warriors","UCLA","https://en.wikipedia.org/wiki/UCLA_Bruins_men%27s_basketball"
"Cedi Osman","SG/SF","Turkey[n 4]","Minnesota Timberwolves","https://en.wikipedia.org/wiki/Minnesota_Timberwolves","Anadolu Efes","https://en.wikipedia.org/wiki/Anadolu_Efes_S.K."
"Montrezl Harrell","PF","United States","Houston Rockets","https://en.wikipedia.org/wiki/Houston_Rockets","Louisville","https://en.wikipedia.org/wiki/Louisville_Cardinals_men%27s_basketball"
